routeName,latitude,longitude,minimumBmsStopSequence,maximumBmsStopSequence,dongName,districtName,evidenceBoundary
011,37.63166667,126.8301167,45,45,화정2동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
011,37.63288333,126.8307,59,59,화정2동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.67048333,126.8868667,14,14,고양동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.67875,126.88755,13,13,고양동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.67865,126.8878667,44,44,고양동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.67043333,126.8873667,43,43,고양동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.66801667,126.8888333,42,42,원신동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.65738333,126.8970167,38,38,삼송1동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.65481667,126.8980667,37,37,삼송1동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.65478333,126.8975667,19,19,삼송1동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.6571,126.8967,18,18,삼송1동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.6631,126.8925333,17,17,원신동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.6678,126.8884,15,15,원신동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.66351667,126.8928333,40,40,원신동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.66568333,126.8909333,41,41,원신동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
037,37.66536667,126.8905167,16,16,원신동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.69013333,126.8597333,89,89,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.68788333,126.8645667,87,87,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.68763333,126.8685833,85,85,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.68733333,126.8678,46,46,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.6873,126.8660833,45,45,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.68873333,126.8620667,44,44,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.6899,126.85975,43,43,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.68756667,126.86605,86,86,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
055,37.68895,126.8621,88,88,관산동,고양시덕양구,historical_bms_link_only_not_current_route_geometry
056,37.66365,126.7700167,62,62,정발산동,고양시일산동구,historical_bms_link_only_not_current_route_geometry
056,37.66406667,126.7694667,36,36,장항2동,고양시일산동구,historical_bms_link_only_not_current_route_geometry
056,37.6674,126.7662167,63,63,주엽1동,고양시일산서구,historical_bms_link_only_not_current_route_geometry
056,37.6574,126.7746667,61,61,마두1동,고양시일산동구,historical_bms_link_only_not_current_route_geometry
056,37.66791667,126.7653667,35,35,주엽1동,고양시일산서구,historical_bms_link_only_not_current_route_geometry
