admin_dong,senior_center_count_workbook_version,candidate_top8,rank_global,source_status,coordinate_accessibility_status
가좌동,14,True,2,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
고봉동,20,False,1,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
고양동,28,True,4,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
관산동,16,True,7,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
능곡동,17,True,8,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
대덕동,11,False,17,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
대화동,23,False,38,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
덕이동,16,False,30,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
마두1동,14,False,41,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
마두2동,8,False,43,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
백석1동,17,False,36,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
백석2동,7,False,19,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
삼송1동,11,False,33,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
삼송2동,12,False,15,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
성사1동,7,False,16,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
성사2동,8,False,10,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
송포동,12,True,9,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
식사동,13,False,34,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
원신동,15,False,11,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
일산1동,18,False,13,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
일산2동,16,False,20,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
일산3동,17,False,42,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
장항1동,6,False,21,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
장항2동,7,False,44,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
정발산동,16,False,35,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
주교동,7,True,5,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
주엽1동,18,False,39,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
주엽2동,20,False,37,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
중산1동,13,False,12,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
중산2동,9,False,22,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
창릉동,11,False,18,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
탄현1동,17,False,32,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
탄현2동,7,False,27,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
풍산동,20,False,28,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
행신1동,12,False,26,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
행신2동,21,False,23,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
행신3동,9,False,25,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
행신4동,9,False,14,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
행주동,13,True,6,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
화전동,16,False,29,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
화정1동,10,False,31,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
화정2동,10,False,40,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
효자동,11,True,3,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
흥도동,12,False,24,official_listed_dong_normalized_and_boundary_name_matched,not_calculated_juso_key_required
