dong_name,top8_scenario_count,baseline_top8_eligible,baseline_rank_global,scenario_count,top8_membership_rate,stable_all_scenarios
가좌동,11,True,2,11,1.0,True
효자동,11,True,3,11,1.0,True
고양동,11,True,4,11,1.0,True
관산동,11,True,7,11,1.0,True
주교동,9,True,5,11,0.8181818181818182,False
행주동,9,True,6,11,0.8181818181818182,False
능곡동,4,True,8,11,0.36363636363636365,False
일산1동,4,False,13,11,0.36363636363636365,False
송포동,3,True,9,11,0.2727272727272727,False
성사2동,3,False,10,11,0.2727272727272727,False
중산1동,3,False,12,11,0.2727272727272727,False
백석2동,3,False,19,11,0.2727272727272727,False
일산2동,3,False,20,11,0.2727272727272727,False
행신3동,1,False,25,11,0.09090909090909091,False
행신1동,1,False,26,11,0.09090909090909091,False
탄현1동,1,False,32,11,0.09090909090909091,False
고봉동,0,False,1,11,0.0,False
원신동,0,False,11,11,0.0,False
행신4동,0,False,14,11,0.0,False
삼송2동,0,False,15,11,0.0,False
성사1동,0,False,16,11,0.0,False
대덕동,0,False,17,11,0.0,False
창릉동,0,False,18,11,0.0,False
장항1동,0,False,21,11,0.0,False
중산2동,0,False,22,11,0.0,False
행신2동,0,False,23,11,0.0,False
흥도동,0,False,24,11,0.0,False
탄현2동,0,False,27,11,0.0,False
풍산동,0,False,28,11,0.0,False
화전동,0,False,29,11,0.0,False
덕이동,0,False,30,11,0.0,False
화정1동,0,False,31,11,0.0,False
삼송1동,0,False,33,11,0.0,False
식사동,0,False,34,11,0.0,False
정발산동,0,False,35,11,0.0,False
백석1동,0,False,36,11,0.0,False
주엽2동,0,False,37,11,0.0,False
대화동,0,False,38,11,0.0,False
주엽1동,0,False,39,11,0.0,False
화정2동,0,False,40,11,0.0,False
마두1동,0,False,41,11,0.0,False
일산3동,0,False,42,11,0.0,False
마두2동,0,False,43,11,0.0,False
장항2동,0,False,44,11,0.0,False
